	reco_1	reco_2	reco_3	reco_4	reco_5	MSE_1	MSE_2	MSE_3	MSE_4	MSE_5	nb1	nb2	nb3	nb4	nb5	id	titre
86	3191.0	7874.0	6376.0	6326.0	11159.0	0.0	0.0	9.75	0.0	0.0	0.0	0.0	1.0	0.0	0.0	86	Seuls, tome 1 : La disparition
87	116.0	129.0	292.0	311.0	336.0	10.25	32.5	7.0	6.0	3.25	5.0	5.0	1.0	2.0	1.0	87	Lucky Luke, tome 12 : La Guérison des Dalton
88	5200.0	10034.0	10458.0	8041.0	680.0	0.0	0.0	0.0	3.75	0.0	0.0	0.0	0.0	1.0	0.0	88	Spirou et Fantasio, tome 2 : Il y a un sorcier à Champignac
89	619.0	593.0	1294.0	1142.0	11161.0	16.0	23.0	89.15750175374895	8.576173019389962	0.0	4.0	7.0	7.0	1.0	0.0	89	Les Sisters, Tome 1 : Un air de famille
90	83.0	118.0	138.0	202.0	264.0	42.0	26.75	17.94193227481319	13.889930963114404	22.75	8.0	6.0	3.0	5.0	2.0	90	Lucky Luke, tome 1 : La Diligence
91	764.0	9923.0	5742.0	2163.0	9370.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91	Gaston, tome 6 : Gare aux gaffes
92	5696.0	942.0	7929.0	150.0	2423.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92	Kid Paddle, tome 1 : Jeux de vilains
93	70.0	4433.0	954.0	1546.0	2374.0	29.020973715508283	0.0	21.75	16.0	4.75	10.0	0.0	4.0	1.0	2.0	93	XIII, Tome 3 : Toutes les Larmes de l'Enfer 
94	180.0	513.0	172.0	205.0	240.0	57.89719144297565	40.7628295478783	59.25	27.25	32.60936511363424	8.0	5.0	10.0	5.0	6.0	94	Les Schtroumpfs, tome 1 : Les Schtroumpfs noirs
95	413.0	10066.0	8995.0	685.0	8592.0	42.25	0.0	0.0	44.0	0.0	4.0	0.0	0.0	3.0	0.0	95	Le Monstre, Tome 1 : Le Sommeil du Monstre
96	96.0	124.0	163.0	8444.0	1729.0	0.0	96.5	39.5	9.0	0.5131508396707467	34.0	24.0	22.0	1.0	1.0	96	Largo Winch, tome 2 : Le Groupe W
97	367.0	5422.0	9908.0	2499.0	8310.0	24.0	0.0	0.0	8.355973411046929	0.0	4.0	0.0	0.0	1.0	0.0	97	Pico Bogue, tome 1 : La vie et moi
98	128.0	182.0	185.0	98.0	4818.0	140.02824178009533	99.4836466452497	109.92166591431406	0.0	9.0	23.0	19.0	25.0	28.0	1.0	98	XIII, Tome 4 : SPADS 
99	8154.0	3375.0	6715.0	367.0	1895.0	0.0	0.0	21.0	9.0	0.0	0.0	0.0	2.0	2.0	0.0	99	Quai d'Orsay, Chroniques diplomatiques, Tome 1
100	3634.0	8104.0	7748.0	7707.0	7335.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100	Blacksad, Tome 4 : L'enfer, le silence
101	147.0	221.0	453.0	2216.0	3538.0	0.0	0.0	3.25	0.0	0.0	3.0	2.0	1.0	0.0	0.0	101	Cédric, tome 4 : Papa a de la classe
102	105.0	110.0	112.0	120.0	151.0	11.25	23.5	10.75	20.19431712353244	11.25	5.0	6.0	4.0	3.0	1.0	102	Lucky Luke, tome 5 : Western Circus
